af_za afr
ast_es ast
bn_in bni
ckb_iq ckb
da_dk dan
es_419 spa
fi_fi fin
gl_es glg
hi_in hin
id_id ind
ja_jp jpn
kea_cv kea
ko_kr kor
ln_cd lin
lv_lv lav
mn_mn mon
my_mm mya
nso_za nso
or_in ory
pt_br por
sk_sk slk
sr_rs srp
te_in tel
uk_ua ukr
vi_vn vie
yue_hant_hk yue
am_et amh
az_az azb
bs_ba bos
cmn_hans_cn cmn
de_de deu
et_ee ekk
fil_ph fil
gu_in guj
hr_hr hrv
ig_ng ibo
jv_id jav
kk_kz kaz
ky_kg kir
lo_la lao
mi_nz mri
mr_in mar
nb_no nob
ny_mw nya
pa_in pan
ro_ro ron
sl_si slv
sv_se swe
tg_tj tgk
umb_ao umb
wo_sn wol
zu_za zul
ar_eg arz
be_by bel
ca_es cat
cs_cz ces
el_gr ell
fa_ir pes
fr_fr fra
ha_ng hau
hu_hu hun
is_is isl
ka_ge kat
km_kh khm
lb_lu ltz
lt_lt lit
mk_mk mkd
ms_my zlm
ne_np nep
oc_fr oci
pl_pl pol
ru_ru rus
sn_zw sna
sw_ke swa
th_th tha
ur_pk urd
xh_za xho
as_in asm
bg_bg bul
ceb_ph ceb
cy_gb cym
en_us eng
en_uk eng
ff_sn ful
ga_ie gle
he_il heb
hy_am hye
it_it ita
kam_ke kam
kn_in kan
lg_ug lug
luo_ke luo
ml_in mal
mt_mt mlt
nl_nl nld
om_et orc
ps_af pus
sd_in snd
so_so som
ta_in tam
tr_tr tur
uz_uz uzb
yo_ng yor
